iter	Logloss
0	0.6667296894
1	0.6400057446
2	0.6159899385
3	0.5924163673
4	0.5768172223
5	0.5635410552
6	0.5493208778
7	0.5389727676
8	0.5290692074
9	0.5184982157
10	0.5044609283
11	0.4926641144
12	0.4797583875
13	0.4720102345
14	0.4649334223
15	0.4536392424
16	0.4457083642
17	0.4372895202
18	0.4296478168
19	0.4226072696
20	0.4185772411
21	0.4146883174
22	0.4125303498
23	0.4100024214
24	0.4072113655
25	0.4017274366
26	0.396254287
27	0.3932165754
28	0.3887916953
29	0.3847776608
30	0.3830795505
31	0.3775904007
32	0.3747252854
33	0.367468085
34	0.3620400546
35	0.3590605762
36	0.3568507021
37	0.3530046882
38	0.3496583307
39	0.3478439597
40	0.3454481856
41	0.3415554766
42	0.3372506343
43	0.3335397654
44	0.3309280423
45	0.3286936719
46	0.3254624811
47	0.3239056297
48	0.3226172166
49	0.3195771221
50	0.316910388
51	0.3143790693
52	0.3110409945
53	0.3081811629
54	0.3067137846
55	0.3055427114
56	0.302563901
57	0.3023909151
58	0.297728941
59	0.2958921499
60	0.2943984434
61	0.2926511392
62	0.2902360482
63	0.2873734255
64	0.2862615081
65	0.2849133829
66	0.2835252529
67	0.2821826733
68	0.2817673034
69	0.2804283792
70	0.2787041069
71	0.2787001659
72	0.2778835746
73	0.2774139201
74	0.2759328621
75	0.2759001847
76	0.2735984658
77	0.2716548067
78	0.2705316511
79	0.2692142383
80	0.2680293549
81	0.266281473
82	0.265360548
83	0.2637601353
84	0.2632500403
85	0.2617497186
86	0.2617289558
87	0.2610901563
88	0.2600534335
89	0.2597699945
90	0.2567053903
91	0.2556091982
92	0.255228376
93	0.2537359368
94	0.2530564765
95	0.2519055597
96	0.2500352204
97	0.2485569634
98	0.2475020899
99	0.2463580107
100	0.2448272161
101	0.2441612285
102	0.2433126059
103	0.2428114658
104	0.2417708641
105	0.2394227168
106	0.2389040551
107	0.2384002838
108	0.2379976756
109	0.2373048848
110	0.2368750826
111	0.2348391354
112	0.2337958397
113	0.2330402949
114	0.2317865911
115	0.2310890851
116	0.229776706
117	0.2287886468
118	0.2276658393
119	0.2265759051
120	0.2255816674
121	0.2239840519
122	0.2233025066
123	0.2221285443
124	0.2211785437
125	0.2201125305
126	0.2197519835
127	0.2184560957
128	0.2176589237
129	0.2159675074
130	0.2138517232
131	0.2123609457
132	0.2114695987
133	0.2108403364
134	0.2104589472
135	0.2098501457
136	0.2095034787
137	0.2086544157
138	0.2077984394
139	0.2075906213
140	0.2067243263
141	0.2058268061
142	0.2046592673
143	0.2041753097
144	0.2034285807
145	0.2030233359
146	0.2022066451
147	0.2016078314
148	0.200646971
149	0.2002189606
150	0.1999622885
151	0.1994115082
152	0.1977518966
153	0.1975534463
154	0.1966215879
155	0.195822972
156	0.1953265542
157	0.1933674083
158	0.1925975429
159	0.192230305
160	0.1916951537
161	0.191213478
162	0.190125472
163	0.1892659248
164	0.1879369711
165	0.1869485194
166	0.186400731
167	0.1861165947
168	0.1853664821
169	0.1847313725
170	0.1836981951
171	0.1834467322
172	0.182780891
173	0.1818703462
174	0.1815303226
175	0.1807953321
176	0.1789155999
177	0.1787498326
178	0.1777147503
179	0.1770018146
180	0.1749733541
181	0.1738559163
182	0.1733349125
183	0.1719436314
184	0.1717108572
185	0.1707862821
186	0.1693678093
187	0.1681445458
188	0.1670990675
189	0.1660212036
190	0.16589968
191	0.1652053938
192	0.1649135065
193	0.1643161437
194	0.1637648549
195	0.1625341985
196	0.1618200842
197	0.1613259212
198	0.16096048
199	0.1602020196
200	0.1594879867
201	0.1580469446
202	0.1570604222
203	0.1563803633
204	0.1556165149
205	0.1543105993
206	0.1538189908
207	0.1525479942
208	0.1515969934
209	0.1508816104
210	0.1501306929
211	0.1495081797
212	0.1489226281
213	0.1483836069
214	0.1480264164
215	0.1473011317
216	0.1471571378
217	0.1467531556
218	0.1460289481
219	0.1452015418
220	0.1448308263
221	0.1443294799
222	0.1432937467
223	0.1423118683
224	0.141164559
225	0.1398784319
226	0.1391417747
227	0.1386710952
228	0.1381635516
229	0.137880154
230	0.1376692556
231	0.1372718875
232	0.1368796806
233	0.1365657516
234	0.1357568067
235	0.1352317366
236	0.134810098
237	0.1347412191
238	0.1345309873
239	0.1339896875
240	0.1338653658
241	0.1335667515
242	0.1322969666
243	0.1317963888
244	0.1313569394
245	0.1305586214
246	0.129495934
247	0.1293844349
248	0.1291196922
249	0.128501452
250	0.1276256115
251	0.1271788801
252	0.1265897964
253	0.1263408808
254	0.1255893595
255	0.1254015151
256	0.125123469
257	0.1248527315
258	0.1243911557
259	0.1238058183
260	0.1233225207
261	0.1226599884
262	0.1222299349
263	0.121478944
264	0.1210660302
265	0.1205825621
266	0.1203436691
267	0.1199914672
268	0.1198904319
269	0.1193714611
270	0.1190560539
271	0.118875347
272	0.1187078397
273	0.1183276536
274	0.1177968514
275	0.1174438947
276	0.1170053185
277	0.1165973519
278	0.1164510725
279	0.1161053818
280	0.1152964044
281	0.1150860453
282	0.114701007
283	0.1144712221
284	0.1141038829
285	0.1138293139
286	0.1126282258
287	0.1120788392
288	0.1114926353
289	0.1109869334
290	0.1103112628
291	0.1100928801
292	0.109523834
293	0.1094033624
294	0.1087819269
295	0.1085776471
296	0.1083390397
297	0.1074783691
298	0.1069474964
299	0.1066991454
300	0.1062511713
301	0.1060601943
302	0.1058465941
303	0.1053674132
304	0.1050669953
305	0.1045421692
306	0.1043925208
307	0.1039821961
308	0.1034831852
