iter	Passed	Remaining
0	2	1286
1	4	1220
2	6	1195
3	9	1216
4	11	1203
5	13	1186
6	15	1174
7	17	1167
8	19	1152
9	21	1143
10	23	1138
11	26	1137
12	28	1134
13	30	1116
14	32	1127
15	34	1125
16	37	1127
17	39	1122
18	41	1121
19	43	1119
20	45	1117
21	48	1116
22	50	1110
23	52	1107
24	54	1098
25	56	1097
26	58	1091
27	60	1090
28	62	1088
29	64	1084
30	66	1081
31	68	1075
32	70	1069
33	72	1068
34	74	1064
35	76	1062
36	78	1058
37	81	1056
38	83	1052
39	85	1051
40	87	1051
41	89	1050
42	93	1062
43	95	1059
44	97	1056
45	99	1054
46	101	1052
47	103	1049
48	105	1046
49	108	1043
50	110	1042
51	112	1038
52	114	1036
53	116	1031
54	118	1028
55	120	1026
56	122	1021
57	123	1009
58	125	1005
59	127	1002
60	129	999
61	131	998
62	133	997
63	135	995
64	137	992
65	140	990
66	142	987
67	144	985
68	146	985
69	148	983
70	150	982
71	151	969
72	153	966
73	155	963
74	157	960
75	157	950
76	159	946
77	162	947
78	164	945
79	166	944
80	169	944
81	171	942
82	173	940
83	175	938
84	177	936
85	179	933
86	180	926
87	182	924
88	184	921
89	186	918
90	188	916
91	190	915
92	192	913
93	194	910
94	197	910
95	199	907
96	201	905
97	203	903
98	205	902
99	207	899
100	209	896
101	211	894
102	213	892
103	215	890
104	218	889
105	220	886
106	222	884
107	223	881
108	225	878
109	227	875
110	229	873
111	232	872
112	234	870
113	236	868
114	238	866
115	240	865
116	242	863
117	244	861
118	247	861
119	249	859
120	251	857
121	254	855
122	256	855
123	258	853
124	260	850
125	262	848
126	264	845
127	266	843
128	268	839
129	270	837
130	272	834
131	274	833
132	276	831
133	278	829
134	280	827
135	282	824
136	284	821
137	286	819
138	288	817
139	290	815
140	292	814
141	294	812
142	297	810
143	299	808
144	301	806
145	303	805
146	305	802
147	307	800
148	309	797
149	311	795
150	313	792
151	315	790
152	317	787
153	319	786
154	321	784
155	323	781
156	325	779
157	327	777
158	329	775
159	331	773
160	333	771
161	335	769
162	337	766
163	339	764
164	341	762
165	343	760
166	346	759
167	348	757
168	350	755
169	352	752
170	355	751
171	357	750
172	359	747
173	361	745
174	363	743
175	365	741
176	367	739
177	369	737
178	371	735
179	374	733
180	376	732
181	378	730
182	380	727
183	382	725
184	384	722
185	386	720
186	388	718
187	390	716
188	393	715
189	395	713
190	397	711
191	399	709
192	402	708
193	404	706
194	406	705
195	409	703
196	411	701
197	413	699
198	415	697
199	417	695
200	419	693
201	421	691
202	424	689
203	426	688
204	428	686
205	430	683
206	432	681
207	435	680
208	437	678
209	439	675
210	441	673
211	443	671
212	445	669
213	447	666
214	449	664
215	451	662
216	453	660
217	455	658
218	457	656
219	459	654
220	462	652
221	463	649
222	465	647
223	468	645
224	470	643
225	472	641
226	473	638
227	476	637
228	478	634
229	480	632
230	482	630
231	484	628
232	486	626
233	488	624
234	491	622
235	493	620
236	495	618
237	497	616
238	499	613
239	500	611
240	503	609
241	505	607
242	507	605
243	509	603
244	511	601
245	514	599
246	516	597
247	518	595
248	520	593
249	522	591
250	525	589
251	527	587
252	529	585
253	531	583
254	533	581
255	535	579
256	538	577
257	540	576
258	542	573
259	544	571
260	546	569
261	548	567
262	550	565
263	552	563
264	554	561
265	556	558
266	559	557
267	561	555
268	563	553
269	566	551
270	568	549
271	570	547
272	572	545
273	575	543
274	577	541
275	580	540
276	582	537
277	584	536
278	586	534
279	588	532
280	590	529
281	593	527
282	595	525
283	597	523
284	599	521
285	602	519
286	604	517
287	606	516
288	608	514
289	611	512
290	613	510
291	615	508
292	618	506
293	620	504
294	623	503
295	625	501
296	627	498
297	630	497
298	632	495
299	634	493
300	636	490
301	639	488
302	641	486
303	644	485
304	646	483
305	648	481
306	650	479
307	653	477
308	656	475
309	658	473
310	660	471
311	663	469
312	665	467
313	667	465
314	669	463
315	671	461
316	674	459
317	676	457
318	678	454
319	679	452
320	681	450
321	684	448
322	686	446
323	688	444
324	690	442
325	693	440
326	695	437
327	697	435
328	699	433
329	701	431
330	703	429
331	706	427
332	708	425
333	710	423
334	712	421
335	714	418
336	716	416
337	719	414
338	721	412
339	723	410
340	726	408
341	728	406
342	730	404
343	732	402
344	734	400
345	736	398
346	738	395
347	740	393
348	743	391
349	745	389
350	747	387
351	749	385
352	751	383
353	754	381
354	756	379
355	758	377
356	760	374
357	762	372
358	764	370
359	766	368
360	768	366
361	770	363
362	772	361
363	774	359
364	776	357
365	778	355
366	780	353
367	782	350
368	784	348
369	787	346
