iter	Logloss
0	0.609574977
1	0.561481823
2	0.5208852013
3	0.4983617638
4	0.4787057777
5	0.4607847828
6	0.4487040496
7	0.4418668893
8	0.4361012554
9	0.4322815277
10	0.4305776502
11	0.4280034558
12	0.4267893947
13	0.4247742132
14	0.4232427999
15	0.4215892535
16	0.4201883101
17	0.4187327481
18	0.4181323084
19	0.4174190633
20	0.4164453481
21	0.4158350591
22	0.4147969755
23	0.4138810935
24	0.413513975
25	0.4122901665
26	0.4119137652
27	0.4111533909
28	0.4100254907
29	0.409502031
30	0.4089547011
31	0.4084673294
32	0.4079666988
33	0.4076829942
34	0.4074298505
35	0.4073916582
36	0.4062019035
37	0.4060519192
38	0.4059416711
39	0.4055094977
40	0.4051802107
41	0.4047773861
42	0.4046203021
43	0.4042412553
44	0.4025117447
45	0.4016374915
46	0.4009728801
47	0.4000555094
48	0.3991326878
49	0.3976627488
50	0.3976013578
51	0.3958281225
52	0.3947379139
53	0.3920392413
54	0.3902277223
55	0.387600191
56	0.3857197275
57	0.3820989215
58	0.3789803342
59	0.3772718586
60	0.3735951334
61	0.3716609002
62	0.3689974848
63	0.3685929446
64	0.3678278736
65	0.3657533028
66	0.3653859371
67	0.3650160856
68	0.3628347025
69	0.3613541608
70	0.3597468997
71	0.3584406177
72	0.3567333167
73	0.3558978138
74	0.3541649437
75	0.3517503255
76	0.3504084341
77	0.3478600885
78	0.3467797746
79	0.34444407
80	0.3413523857
81	0.3383212553
82	0.3361211829
83	0.3333056012
84	0.3325448249
85	0.3321415953
86	0.330511304
87	0.3297630656
88	0.327810507
89	0.3274361541
90	0.325924284
91	0.3239137403
92	0.3231093434
93	0.3229927649
94	0.3204717727
95	0.3193162467
96	0.3174038606
97	0.3158764707
98	0.3130401914
99	0.3129551299
100	0.3123388617
101	0.3116590222
102	0.3090327236
103	0.3086462481
104	0.3078249845
105	0.3061226487
106	0.3035488904
107	0.302152837
108	0.3017267181
109	0.3016525648
110	0.3001951753
111	0.29940034
112	0.2985468226
113	0.2972746952
114	0.2960050499
115	0.2946840192
116	0.2946044567
