iter	Passed	Remaining
0	5	4453
1	9	3676
2	13	3340
3	16	3164
4	20	3007
5	23	2933
6	27	2887
7	30	2856
8	33	2795
9	37	2772
10	40	2730
11	44	2715
12	47	2698
13	50	2661
14	54	2642
15	56	2610
16	60	2592
17	63	2573
18	66	2555
19	69	2544
20	72	2526
21	76	2517
22	79	2508
23	82	2492
24	85	2481
25	88	2470
26	91	2454
27	94	2441
28	98	2435
29	101	2426
30	104	2416
31	107	2404
32	110	2393
33	113	2388
34	116	2378
35	119	2369
36	122	2361
37	125	2356
38	129	2352
39	132	2343
40	135	2340
41	138	2333
42	142	2333
43	145	2334
44	149	2334
45	152	2331
46	155	2324
47	159	2324
48	162	2327
49	166	2332
50	170	2334
51	174	2339
52	178	2345
53	182	2345
54	186	2351
55	190	2353
56	194	2357
57	198	2361
58	202	2365
59	205	2363
60	210	2372
61	214	2376
62	218	2378
63	222	2378
64	226	2381
65	230	2381
66	233	2380
67	237	2380
68	241	2378
69	245	2377
70	248	2375
71	253	2379
72	257	2381
73	261	2382
74	265	2381
75	268	2380
76	272	2381
77	276	2382
78	280	2380
79	284	2378
80	288	2376
81	292	2378
82	296	2378
83	300	2375
84	303	2373
85	307	2372
86	311	2370
87	315	2370
88	319	2365
89	322	2362
90	326	2361
91	330	2359
92	334	2358
93	338	2357
94	342	2357
95	346	2354
96	350	2353
97	353	2348
98	357	2346
99	361	2346
100	365	2344
101	369	2343
102	372	2338
103	376	2335
104	380	2331
105	383	2329
106	387	2326
107	391	2323
108	395	2321
109	399	2320
110	403	2319
111	407	2317
112	410	2312
113	414	2309
114	418	2309
115	422	2307
116	426	2305
